idna_subject,checker_type,destination,tested_at
counter.gemius.pl,AVAILABILITY,origin.list,2021-06-14 06:05:07.212166
!,AVAILABILITY,origin.list,2021-06-14 06:05:10.525654
[imported],AVAILABILITY,origin.list,2021-06-14 06:05:13.839798
abandonedclover.com,AVAILABILITY,origin.list,2021-06-14 06:05:20.351748
ad.gate24.ch,AVAILABILITY,origin.list,2021-06-14 06:05:28.807571
ad.httpool.com,AVAILABILITY,origin.list,2021-06-14 06:05:37.260875
ad.leadbolt.net,AVAILABILITY,origin.list,2021-06-14 06:05:43.500087
ad.rambler.ru,AVAILABILITY,origin.list,2021-06-14 06:05:52.569724
ad.smartclip.net,AVAILABILITY,origin.list,2021-06-14 06:05:58.863617
ad.twitchguru.com,AVAILABILITY,origin.list,2021-06-14 06:06:05.228710
adclient.uimserv.net,AVAILABILITY,origin.list,2021-06-14 06:06:12.044928
adfarm.mediaplex.com,AVAILABILITY,origin.list,2021-06-14 06:06:18.764568
adk2ads.tictacti.com,AVAILABILITY,origin.list,2021-06-14 06:06:25.235826
admerize.be,AVAILABILITY,origin.list,2021-06-14 06:06:46.866964
adres.internet.com,AVAILABILITY,origin.list,2021-06-14 06:06:53.577160
ads.affiliates-spinit.com,AVAILABILITY,origin.list,2021-06-14 06:07:00.247172
ads.ask.com,AVAILABILITY,origin.list,2021-06-14 06:07:06.709319
ads.berlinonline.de,AVAILABILITY,origin.list,2021-06-14 06:07:13.678162
ads.bluelithium.com,AVAILABILITY,origin.list,2021-06-14 06:07:20.532234
ads.bluesq.com,AVAILABILITY,origin.list,2021-06-14 06:07:29.648962
ads.canoe.ca,AVAILABILITY,origin.list,2021-06-14 06:07:36.198881
ads.cricbuzz.com,AVAILABILITY,origin.list,2021-06-14 06:07:42.716862
ads.dazoot.ro,AVAILABILITY,origin.list,2021-06-14 06:07:49.614316
ads.factorymedia.com,AVAILABILITY,origin.list,2021-06-14 06:07:55.920583
ads.forium.de,AVAILABILITY,origin.list,2021-06-14 06:08:02.803276
ads.ft.com,AVAILABILITY,origin.list,2021-06-14 06:08:09.188646
ads.indiatimes.com,AVAILABILITY,origin.list,2021-06-14 06:08:17.013178
ads.jubii.dk,AVAILABILITY,origin.list,2021-06-14 06:08:24.685779
ads.linuxfoundation.org,AVAILABILITY,origin.list,2021-06-14 06:08:31.637469
ads.motormedia.nl,AVAILABILITY,origin.list,2021-06-14 06:08:38.022008
ads.nwsource.com,AVAILABILITY,origin.list,2021-06-14 06:08:44.733657
ads.resoom.de,AVAILABILITY,origin.list,2021-06-14 06:08:51.554737
ads.techtv.com,AVAILABILITY,origin.list,2021-06-14 06:08:58.137507
ads1.canoe.ca,AVAILABILITY,origin.list,2021-06-14 06:09:04.476717
ads2.jubii.dk,AVAILABILITY,origin.list,2021-06-14 06:09:11.243849
ads5.canoe.ca,AVAILABILITY,origin.list,2021-06-14 06:09:17.665859
adserv.gamezone.de,AVAILABILITY,origin.list,2021-06-14 06:09:24.768643
adserver.aidameter.com,AVAILABILITY,origin.list,2021-06-14 06:09:33.210275
adserver.flossiemediagroup.com,AVAILABILITY,origin.list,2021-06-14 06:09:42.311892
adserver.portugalmail.pt,AVAILABILITY,origin.list,2021-06-14 06:09:49.356044
adserver.viagogo.com,AVAILABILITY,origin.list,2021-06-14 06:09:56.396055
adserver1.ogilvy-interactive.de,AVAILABILITY,origin.list,2021-06-14 06:10:03.009050
advfromnwl.com,AVAILABILITY,origin.list,2021-06-14 06:10:09.523116
adview.ppro.de,AVAILABILITY,origin.list,2021-06-14 06:10:19.418921
affiliate.mercola.com,AVAILABILITY,origin.list,2021-06-14 06:10:25.768434
affiliate.viator.com,AVAILABILITY,origin.list,2021-06-14 06:10:32.112143
affiliates.internationaljock.com,AVAILABILITY,origin.list,2021-06-14 06:10:39.403833
afterview.ru,AVAILABILITY,origin.list,2021-06-14 06:10:50.994827
analytics.newsinc.com,AVAILABILITY,origin.list,2021-06-14 06:10:57.348955
anm.intelli-direct.com,AVAILABILITY,origin.list,2021-06-14 06:11:03.132344
as1.advfn.com,AVAILABILITY,origin.list,2021-06-14 06:11:09.461219
b.aol.com,AVAILABILITY,origin.list,2021-06-14 06:11:15.739445
banner.getgo.de,AVAILABILITY,origin.list,2021-06-14 06:11:22.596308
banner.wirenode.com,AVAILABILITY,origin.list,2021-06-14 06:11:29.835459
banners.directnic.com,AVAILABILITY,origin.list,2021-06-14 06:11:36.542616
banners.easydns.com,AVAILABILITY,origin.list,2021-06-14 06:11:43.274961
banners.sexsearch.com,AVAILABILITY,origin.list,2021-06-14 06:11:49.783429
bans.adserver.co.il,AVAILABILITY,origin.list,2021-06-14 06:11:59.538678
beamkite.com,AVAILABILITY,origin.list,2021-06-14 06:12:06.119666
