idna_subject,checker_type,destination,source,tested_at,session_id
ad.tv2.no,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.572651,1a450fb347b576d2f9148966
ad.usatoday.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.583504,1a450fb347b576d2f9148966
ad.virtual-nights.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.593502,1a450fb347b576d2f9148966
ad.wavu.hu,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.603393,1a450fb347b576d2f9148966
ad.way.cz,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.613320,1a450fb347b576d2f9148966
ad.weatherbug.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.623414,1a450fb347b576d2f9148966
ad.wsod.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.633329,1a450fb347b576d2f9148966
ad.wz.cz,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.643410,1a450fb347b576d2f9148966
ad.xrea.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.653473,1a450fb347b576d2f9148966
ad.yadro.ru,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.663600,1a450fb347b576d2f9148966
ad.zanox.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.673986,1a450fb347b576d2f9148966
ad0.bigmir.net,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.683951,1a450fb347b576d2f9148966
ad01.mediacorpsingapore.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.694063,1a450fb347b576d2f9148966
ad1.emule-project.org,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.704120,1a450fb347b576d2f9148966
ad1.kde.cz,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.714265,1a450fb347b576d2f9148966
ad1.pamedia.com.au,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.724318,1a450fb347b576d2f9148966
ad2.iinfo.cz,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.734331,1a450fb347b576d2f9148966
ad2.lupa.cz,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.744343,1a450fb347b576d2f9148966
ad2.xrea.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.754548,1a450fb347b576d2f9148966
ad2flash.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.764827,1a450fb347b576d2f9148966
ad3.iinfo.cz,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.774970,1a450fb347b576d2f9148966
ad3.pamedia.com.au,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.785274,1a450fb347b576d2f9148966
ad3.xrea.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.795464,1a450fb347b576d2f9148966
ad4game.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.805729,1a450fb347b576d2f9148966
ad4mat.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.815911,1a450fb347b576d2f9148966
ad4mat.de,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.826115,1a450fb347b576d2f9148966
ad4mat.net,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.836264,1a450fb347b576d2f9148966
adaction.de,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.846604,1a450fb347b576d2f9148966
adadvisor.net,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.856827,1a450fb347b576d2f9148966
adap.tv,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.866980,1a450fb347b576d2f9148966
adapt.tv,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.876974,1a450fb347b576d2f9148966
adbard.net,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.886760,1a450fb347b576d2f9148966
adblade.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.896882,1a450fb347b576d2f9148966
adblockanalytics.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.907085,1a450fb347b576d2f9148966
adboost.net,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.917120,1a450fb347b576d2f9148966
adbooth.net,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.927512,1a450fb347b576d2f9148966
adbot.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.937912,1a450fb347b576d2f9148966
adbrite.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.948334,1a450fb347b576d2f9148966
adbrn.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.958768,1a450fb347b576d2f9148966
adbroker.de,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.969188,1a450fb347b576d2f9148966
adbunker.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.979735,1a450fb347b576d2f9148966
adbutler.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:15.990164,1a450fb347b576d2f9148966
adbuyer.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.000614,1a450fb347b576d2f9148966
adbuyer3.lycos.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.010935,1a450fb347b576d2f9148966
adcash.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.021343,1a450fb347b576d2f9148966
adcast.deviantart.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.031761,1a450fb347b576d2f9148966
adcell.de,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.041715,1a450fb347b576d2f9148966
adcenter.net,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.052062,1a450fb347b576d2f9148966
adcentriconline.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.062426,1a450fb347b576d2f9148966
adcept.net,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.072762,1a450fb347b576d2f9148966
adclick.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.083087,1a450fb347b576d2f9148966
adclient1.tucows.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.094664,1a450fb347b576d2f9148966
adcomplete.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.105185,1a450fb347b576d2f9148966
adconion.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.115843,1a450fb347b576d2f9148966
adcontent.gamespy.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.126377,1a450fb347b576d2f9148966
adcycle.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.136922,1a450fb347b576d2f9148966
add.newmedia.cz,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.147576,1a450fb347b576d2f9148966
addfreestats.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.158190,1a450fb347b576d2f9148966
addme.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.168810,1a450fb347b576d2f9148966
adecn.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.179649,1a450fb347b576d2f9148966
ademails.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.190400,1a450fb347b576d2f9148966
adengage.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.201202,1a450fb347b576d2f9148966
adexchangegate.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.211828,1a450fb347b576d2f9148966
adexchangeprediction.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.222413,1a450fb347b576d2f9148966
adexcite.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.233141,1a450fb347b576d2f9148966
adexpose.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.243443,1a450fb347b576d2f9148966
adext.inkclub.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.253984,1a450fb347b576d2f9148966
adf.ly,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.264409,1a450fb347b576d2f9148966
adflight.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.276208,1a450fb347b576d2f9148966
adforce.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.286625,1a450fb347b576d2f9148966
adform.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.296987,1a450fb347b576d2f9148966
adformdsp.net,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.307309,1a450fb347b576d2f9148966
adgardener.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.317944,1a450fb347b576d2f9148966
adgoto.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.328459,1a450fb347b576d2f9148966
adgridwork.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.339046,1a450fb347b576d2f9148966
adhese.be,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.349651,1a450fb347b576d2f9148966
adhese.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.360339,1a450fb347b576d2f9148966
adhoc4.net,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.371058,1a450fb347b576d2f9148966
adimage.guardian.co.uk,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.382112,1a450fb347b576d2f9148966
adimages.been.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.392829,1a450fb347b576d2f9148966
adimages.carsoup.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.403566,1a450fb347b576d2f9148966
adimages.go.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.414286,1a450fb347b576d2f9148966
adimages.homestore.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.425121,1a450fb347b576d2f9148966
adimages.sanomawsoy.fi,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.436038,1a450fb347b576d2f9148966
adimg.com.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.447184,1a450fb347b576d2f9148966
adimg.uimserv.net,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.458111,1a450fb347b576d2f9148966
adimg1.chosun.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.469168,1a450fb347b576d2f9148966
adimgs.sapo.pt,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.480255,1a450fb347b576d2f9148966
adimpact.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.491347,1a450fb347b576d2f9148966
adincube.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.502269,1a450fb347b576d2f9148966
adinjector.net,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.513412,1a450fb347b576d2f9148966
adinterax.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.524406,1a450fb347b576d2f9148966
adisfy.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.535380,1a450fb347b576d2f9148966
adition.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.546268,1a450fb347b576d2f9148966
adition.de,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.557259,1a450fb347b576d2f9148966
adition.net,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.568538,1a450fb347b576d2f9148966
adizio.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.579743,1a450fb347b576d2f9148966
adjix.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.590944,1a450fb347b576d2f9148966
adjug.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.602087,1a450fb347b576d2f9148966
adjuggler.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.613312,1a450fb347b576d2f9148966
adjuggler.yourdictionary.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.624556,1a450fb347b576d2f9148966
adjustnetwork.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.635683,1a450fb347b576d2f9148966
adk2.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.646924,1a450fb347b576d2f9148966
adland.ru,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.659132,1a450fb347b576d2f9148966
adledge.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.670181,1a450fb347b576d2f9148966
adlegend.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.681239,1a450fb347b576d2f9148966
adlog.com.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.692363,1a450fb347b576d2f9148966
adloox.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.703262,1a450fb347b576d2f9148966
adlooxtracking.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.714077,1a450fb347b576d2f9148966
adlure.net,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.725061,1a450fb347b576d2f9148966
adm.fwmrm.net,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.735963,1a450fb347b576d2f9148966
admagnet.net,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.746654,1a450fb347b576d2f9148966
admailtiser.com,AVAILABILITY,origin.list,origin.list,2001-06-14 01:22:16.757624,1a450fb347b576d2f9148966
